list_name,name,label::English,label::Dari,label::Pashto,region,province,district,factors,filter
district_list,tani,Tani,???,???,,khost,,,
district_list,terezayi,Terezayi,??? ????,??? ????,,khost,,,
district_list,asad_abad,Asad Abad,???? ????,???? ????,,kunar,,,
district_list,bar_kunar,Bar Kunar,?????,?????,,kunar,,,
district_list,chapa_dara,Chapa Dara,??? ???,??? ???,,kunar,,,
district_list,chawkay,Chawkay,????,????,,kunar,,,
district_list,dangam,Dangam,??????,??????,,kunar,,,
district_list,dara_e_pech,Dara-e-Pech,??? ???,??? ???,,kunar,,,
district_list,khas_kunar,Khas Kunar,??? ???,??? ???,,kunar,,,
district_list,marawara,Marawara,?????,?????,,kunar,,,
district_list,nari,Nari,????,????,,kunar,,,
district_list,nurgal,Nurgal,?????,?????,,kunar,,,
district_list,sar_kani,Sar Kani,??????,??????,,kunar,,,
district_list,shigal,Shigal,????,????,,kunar,,,
district_list,watapur,Watapur,???? ???,???? ???,,kunar,,,
district_list,ali_abad,Ali Abad,??? ????,??? ????,,kunduz,,,
district_list,chahar_darah,Chahar Darah,???? ???,???? ???,,kunduz,,,
district_list,dasht_e_archi,Dasht-e-Archi,??? ????,??? ????,,kunduz,,,
district_list,imam_sahib,Imam Sahib,???? ????,???? ????,,kunduz,,,
district_list,khan_abad,Khan Abad,??? ????,??? ????,,kunduz,,,
district_list,kunduz,Kunduz,????,????,,kunduz,,,
district_list,qala_e_zal,Qala-e-Zal,???? ???,???? ???,,kunduz,,,
district_list,alingar,Alingar,???????,???????,,laghman,,,
district_list,alishang,Alishang,??????,??????,,laghman,,,
district_list,mehtarlam,Mehtarlam,???????,???????,,laghman,,,
district_list,mohammad_agha,Mohammad Agha,???????,???????,,logar,,,
district_list,pul_e_alam,Pul-e-Alam,?? ???,?? ???,,logar,,,
district_list,charkh,Charkh,???,???,,logar,,,
district_list,khoshi,Khoshi,????,????,,logar,,,
district_list,baraki_barak,Baraki Barak,???? ???,???? ???,,logar,,,
district_list,chak_e_wardak,Chak-e-Wardak,?? ????,?? ????,,maidan_wardak,,,
district_list,daymirdad,Daymirdad,?????????,?????????,,maidan_wardak,,,
district_list,hesa_e_awal_e_behsud,Hesa-e-Awal-e-Behsud,??? ??? ?????,??? ??? ?????,,maidan_wardak,,,
district_list,jaghatu,Jaghatu,???? (????),???? (????),,maidan_wardak,,,
district_list,jalrez,Jalrez,?????,?????,,maidan_wardak,,,
